typ;utförande;tjocklek_mm;bredd_mm;hållfasthetsklass;sorteringsklass;längd_mm;källa
tvärsnitt;sågat;38;150;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;47;75;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;47;100;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;47;125;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;47;150;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;47;175;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;47;200;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;47;225;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;47;250;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;50;75;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;50;100;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;50;125;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;50;150;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;50;175;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;50;200;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;50;225;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;63;100;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
